"sampleSize","effect","I2","k","heterogeneity","dist","bias","large","effect_median","method","prop_converged_estimate","prop_converged_ci","bias_mean","bias_median","bias_mcse","relbias_mean","relbias_mean_mcse","relbias_median","relbias_median_mcse","var","var_mcse","empse","empse_mcse","width","width_mcse","mse_mean","mse_mean_mcse","mse_median","mse_median_mcse","rmse_mean","rmse_mean_mcse","rmse_median","rmse_median_mcse","coverage_mean","coverage_mean_mcse","coverage_median","coverage_median_mcse","correlation_skew","correlation_skew_mcse","kappa_skew","kappa_skew_mcse"
50,0.2,0,10,"additive","Gaussian","none",0,0.2,"hk_ci_additive_none",1,1,4.18752997908833e-05,4.18752997908833e-05,3.16878031789876e-06,0.000209376498954417,1.58439015894938e-05,0.000209376498954417,1.58439015894938e-05,0.00401626665786696,4.01656789669365e-05,0.0633740219480109,0.000316885954037756,0.278076949184999,0.000472450270358424,0.0040162684114077,2.79004074960471e-07,0.0040162684114077,2.79004074960471e-07,0.0040162684114077,1.73671208184192e-05,0.0040162684114077,1.73671208184192e-05,0.94995,0.00154183328378914,0.94995,0.00154183328378914,NA,NA,NA,NA
50,0.2,0,10,"additive","Gaussian","none",0,0.2,"reml_ci_additive_none",1,1,4.18752997908833e-05,4.18752997908833e-05,3.16878031789876e-06,0.000209376498954417,1.58439015894938e-05,0.000209376498954417,1.58439015894938e-05,0.00401626665786696,4.01656789669365e-05,0.0633740219480109,0.000316885954037756,0.245567175198497,4.00616954605985e-05,0.0040162684114077,2.79004074960471e-07,0.0040162684114077,2.79004074960471e-07,0.0040162684114077,1.73671208184192e-05,0.0040162684114077,1.73671208184192e-05,0.94655,0.00159048887924437,0.94655,0.00159048887924437,NA,NA,NA,NA
50,0.2,0,10,"additive","Gaussian","none",0,0.2,"hk_ci_additive_DL",1,1,5.08993206930208e-05,5.08993206930208e-05,3.15946918845439e-06,0.000254496603465104,1.5797345942272e-05,0.000254496603465104,1.5797345942272e-05,0.00399269857620601,3.99299804731609e-05,0.0631878040147465,0.000315954817814623,0.278011433758312,0.000471363074198881,0.00399270116694686,2.77462280924016e-07,0.00399270116694686,2.77462280924016e-07,0.00399270116694686,1.73730933848091e-05,0.00399270116694686,1.73730933848091e-05,0.95005,0.00154037329079675,0.95005,0.00154037329079675,NA,NA,NA,NA
50,0.2,0,10,"additive","Gaussian","none",0,0.2,"hc_ci_additive_DL",1,1,4.18752997908833e-05,4.18752997908833e-05,3.16878031789876e-06,0.000209376498954417,1.58439015894938e-05,0.000209376498954417,1.58439015894938e-05,0.00401626665786696,4.01656789669365e-05,0.0633740219480109,0.000316885954037756,0.265234317874566,0.00036295685848577,0.0040162684114077,2.79004074960471e-07,0.0040162684114077,2.79004074960471e-07,0.0040162684114077,1.73671208184192e-05,0.0040162684114077,1.73671208184192e-05,0.9527,0.00150104480279571,0.9527,0.00150104480279571,NA,NA,NA,NA
50,0.2,0,10,"additive","Gaussian","none",0,0.2,"reml_ci_additive_DL",1,1,5.08993206930208e-05,5.08993206930208e-05,3.15946918845439e-06,0.000254496603465104,1.5797345942272e-05,0.000254496603465104,1.5797345942272e-05,0.00399269857620601,3.99299804731609e-05,0.0631878040147465,0.000315954817814623,0.266969665948762,0.000243372051288278,0.00399270116694686,2.77462280924016e-07,0.00399270116694686,2.77462280924016e-07,0.00399270116694686,1.73730933848091e-05,0.00399270116694686,1.73730933848091e-05,0.95965,0.00139143590402145,0.95965,0.00139143590402145,NA,NA,NA,NA
50,0.2,0,10,"additive","Gaussian","none",0,0.2,"hk_ci_additive_REML",1,1,5.24204758737268e-05,5.24204758737268e-05,3.1593767693804e-06,0.000262102379368634,1.5796883846902e-05,0.000262102379368634,1.5796883846902e-05,0.00399246499512879,3.9927644487192e-05,0.0631859556794767,0.000315945575676167,0.277935381233377,0.000471148713390504,0.00399246774303508,2.77457572887256e-07,0.00399246774303508,2.77457572887256e-07,0.00399246774303508,1.73738143139218e-05,0.00399246774303508,1.73738143139218e-05,0.95005,0.00154037329079675,0.95005,0.00154037329079675,NA,NA,NA,NA
50,0.2,0,10,"additive","Gaussian","none",0,0.2,"reml_ci_additive_REML",1,1,5.24204758737268e-05,5.24204758737268e-05,3.1593767693804e-06,0.000262102379368634,1.5796883846902e-05,0.000262102379368634,1.5796883846902e-05,0.00399246499512879,3.9927644487192e-05,0.0631859556794767,0.000315945575676167,0.267308501603345,0.000243304423692329,0.00399246774303508,2.77457572887256e-07,0.00399246774303508,2.77457572887256e-07,0.00399246774303508,1.73738143139218e-05,0.00399246774303508,1.73738143139218e-05,0.9594,0.00139555795293495,0.9594,0.00139555795293495,NA,NA,NA,NA
50,0.2,0,10,"additive","Gaussian","none",0,0.2,"tippett_ci_additive_none",1,1,0.0112422488867851,0.0112422488867851,5.86290374412087e-06,0.0562112444339255,2.93145187206044e-05,0.0562112444339255,2.93145187206044e-05,0.0137487686523244,0.000137497998744244,0.117255143393901,0.000586305032221118,0.453810310810263,0.000218397128407636,0.0138751568123568,1.13215147159943e-06,0.0138751568123568,1.13215147159943e-06,0.0138751568123568,2.03988950703456e-05,0.0138751568123568,2.03988950703456e-05,0.94495,0.00161275381723312,0.94495,0.00161275381723312,-0.0774236116168973,0.00705019501454989,-0.00020219570324965,0.000345674399901012
50,0.2,0,10,"additive","Gaussian","none",0,0.2,"wilkinson_ci_additive_none",1,1,-0.0110094645428261,-0.0110094645428261,5.87221769610575e-06,-0.0550473227141306,2.93610884805288e-05,-0.0550473227141306,2.93610884805288e-05,0.0137924866093696,0.000137935211105214,0.117441417776565,0.000587236450705359,0.453279000103073,0.000219143904490673,0.0139136949188894,1.10684470372885e-06,0.0139136949188894,1.10684470372885e-06,0.0139136949188894,1.98876845830899e-05,0.0139136949188894,1.98876845830899e-05,0.9452,0.00160930046914801,0.9452,0.00160930046914801,-0.0904122691015046,0.00704245984751537,-0.000298676496913756,0.000300373401439739
50,0.2,0,10,"additive","Gaussian","none",0,0.2,"pearson_ci_additive_none",1,1,-0.00180704731659881,-0.00180704731659881,3.46833893810327e-06,-0.00903523658299404,1.73416946905164e-05,-0.00903523658299404,1.73416946905164e-05,0.00481150940832555,4.81187029408644e-05,0.0693650445709188,0.000346842564982843,0.271075983126093,0.000111980108982715,0.00481477482832997,3.42058723554008e-07,0.00481477482832997,3.42058723554008e-07,0.00481477482832997,1.77608889174498e-05,0.00481477482832997,1.77608889174498e-05,0.94905,0.00155489706250928,0.94905,0.00155489706250928,0.715491556843448,0.00494024616871545,0,0
